CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours ENA;1;33;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours HEC;2;53;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours Institut Administration Publique;3;49;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours St Cyr;4;36;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours ENSAE;5;37;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours ENPC, ECP;6;40;42
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours X, Mines;7;35;39
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours INALCO;8;50;44
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;Chargé de cours ENS;9;34;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours fac;10;0;
CHAMP UNIVERSITAIRE;ENSEIGNEMENT;chargé de cours étranger;12;203;204
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;CNRS;14;27;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Ecole Journalisme;15;50;44
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;ENA;16;33;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;IEP;17;210;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Ecoles Commerce;18;53;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT; X, ENS;19;34;35
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Institut Publiq d'Admin;20;49;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Dans fac : psdt, vpsdt, doyen, psdt département;21;67;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Dans monde universitaire : CNU, CSU, Jurys;22;68;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Dans Ministère ES : commissions de programmes, consultation;23;69;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Evaluation : AERES, ANR;24;70;
CHAMP UNIVERSITAIRE;CONSEIL ADM - SCIENT;Associations disciplinaires;25;71;
CHAMP UNIVERSITAIRE;REVUES;Revues: comité de rédaction;26;73;
CHAMP UNIVERSITAIRE;EDITION;dir col;28;208;
CHAMP UNIVERSITAIRE;EXPERTISE;gvt;30;74;
CHAMP UNIVERSITAIRE;EXPERTISE;banq;31;72;
CHAMP UNIVERSITAIRE;EXPERTISE;industrie;32;75;
CHAMP UNIVERSITAIRE;EXPERTISE;organisme international;33;200;
CHAMP CULTUREL;MEDIATIQUE;CA direction radio TV presse;34;201;
CHAMP CULTUREL;MEDIATIQUE;chroniqueur presse;35;81;82
CHAMP CULTUREL;MEDIATIQUE;chroniqueur radio TV;36;76;77
CHAMP CULTUREL;CONSECRATION;académie sciences morales et politiques;38;86;
CHAMP CULTUREL;CONSECRATION;CSA;39;78;
CHAMP CULTUREL;CONSECRATION;Conseil d'adm et amis de (cult);40;88;
CHAMP POLITIQUE;;CES;41;126;
CHAMP POLITIQUE;;Commission ad hoc;42;124;
CHAMP ECONOMIQUE;CA;banque, finance, assurance;45;128;
CHAMP ECONOMIQUE;CA;groupe industriel;46;132;
CHAMP ECONOMIQUE;CA;CNPF MEDEF;47;144;
CHAMP ECONOMIQUE;CA;Clubs de réflexion patronaux (Institut Montaigne, Institut Aspen, Fondation Innovation, Institut La Boétie, Le siècle);48;145;
CHAMP ECONOMIQUE;CA;Corporation : associations professionnelles;49;146;
CHAMP LOBBYING;RELIGIEUX et COMMUNAUTAIRE;CRIF CFJ;50;140;
CHAMP LOBBYING;RELIGIEUX et COMMUNAUTAIRE;Catho;51;141;
CHAMP LOBBYING;SYNDICAL;SYNDICAL;55;147;
CHAMP LOBBYING;ONG;ONG;58;150;
CHAMP LOBBYING;CLUBS intellectuels;clubs réflexion intellectuels;60;151;
CHAMP LOBBYING;POLITIQUE;Europe : Notre Europe   - Fondation Schuman;61;152;
CHAMP LOBBYING;POLITIQUE; Alter : ATTAC, PC         ;62;153;
CHAMP LOBBYING;POLITIQUE;Extrême droite / monarchiste: Action française        ;63;154;
CHAMP LOBBYING;POLITIQUE;Ecolo;64;155;
CHAMP LOBBYING;POLITIQUE;Socialiste;65;156;
CHAMP LOBBYING;ETRANGER;pro-usa ;68;157;
CHAMP LOBBYING;ETRANGER;francafrique;69;158;
